,Callophyllis_atrosanguinea,Curdiea_racovitzae,Georgiella_confluens,Gigartina_skottsbergii,Iridaea_cordata,Myriogramme_manginii,Neuroglossum_delesseriae,Pantoneura_plocamioides,Picconiella_plumosa,Plocamium_cartilagineum,Pyropia_plocamiestris,Trematocarpus_antarcticus,Adenocystis_utricularis,Ascoseira_mirabilis,Desmarestia_anceps,Desmarestia_antarctica,Desmarestia_menziesii,Geminocarpus_geminatus,Phaeurus_antarcticus,Lambia_antarctica,Monostroma_hariotii,Urospora_penicilliformis,Ulothrix_sp,Haliclonidae,Stylo_Myca,Rossella_sp,Dendrilla_antarctica
Prostebbingia_gracilis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Gondogeneia_antarctica,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Paradexamine_sp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gitanopsis_antarctica,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Oradarea_bidentata,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
BenthicDiatoms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Nacella_concinna,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Sterechinus_neumayeri,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Briozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
